Fecha,et,dia,reconstruida_et,ajustados_et
2021-03-02,2.7898595,427,4.397277311736209,3.9509928876391314
2021-03-03,4.1103234,428,4.258835534984005,3.976371013744142
2021-03-04,4.4537425,429,4.085447923071197,4.001865884628591
2021-03-05,4.6042237,430,3.9091477223959306,4.027469998238679
2021-03-06,4.6849217,431,3.769879416771965,4.053175820375137
2021-03-07,3.2901049,432,3.706644316295996,4.078975786910202
2021-03-08,2.417679,433,3.7473072574182713,4.104862306013432
2021-03-09,3.8408926,434,3.8999297286433667,4.130827760385655
2021-03-10,4.9791365,435,4.148423047570071,4.1568645095004095
2021-03-11,4.9822445,436,4.454367240148091,4.182964891852235
2021-03-12,4.5506907,437,4.76519956320369,4.209121227211116
2021-03-13,4.528449,438,5.027070474192569,4.2353258188824565
2021-03-14,5.2112217,439,5.199064483425938,4.2615709559718855
2021-03-15,4.599073,440,5.264731080318082,4.287848915654242
2021-03-16,5.5131087,441,5.237298909405474,4.314151965446071
2021-03-17,5.9365225,442,5.156541683202027,4.3404723654809745
2021-03-18,5.4287267,443,5.077634787093252,4.366802370787112
2021-03-19,4.8726115,444,5.054805829865654,4.393134233566225
2021-03-20,4.7128263,445,5.124367245735954,4.419460205473475
2021-03-21,4.8286166,446,5.292206560882816,4.445772539897464
2021-03-22,5.692254,447,5.529754605718702,4.472063494239718
2021-03-23,5.5832515,448,5.780090044984487,4.4983253321930095
2021-03-24,6.7325315,449,5.972843395406168,4.524550326017826
2021-03-25,5.994409,450,6.043850467933033,4.550730758816309
2021-03-26,5.625158,451,5.953942401855317,4.5768589268030135
2021-03-27,5.8616266,452,5.701379669463744,4.602927141571795
2021-03-28,5.1971297,453,5.324246812868666,4.628927732358196
2021-03-29,3.8787558,454,4.892082136937667,4.654853048296607
2021-03-30,5.676515,455,4.489197261009724,4.680695460671597
2021-03-31,5.584555,456,4.194535903039974,4.706447365162724
2021-04-01,3.0965872,457,4.063771945073726,4.732101184082155
2021-04-02,2.5827308,458,4.118405985573018,4.757649368604462
2021-04-03,4.732224,459,4.344236838234073,4.7830844009879145
2021-04-04,4.706174,460,4.69858868729468,4.808398796786641
2021-04-05,5.72778,461,5.123087365959702,4.833585107052967
2021-04-06,5.825137,462,5.55745743893275,4.858635920529333
2021-04-07,5.99058,463,5.95014622663705,4.88354386582911
2021-04-08,6.151853,464,6.263359535013046,4.908301613605683
2021-04-09,6.5041733,465,6.472582403037044,4.932901878709166
2021-04-10,6.7311344,466,6.562872943667842,4.957337422330112
2021-04-11,5.8687415,467,6.525293603440676,4.981601054129582
2021-04-12,6.02867,468,6.356366080769516,5.005685634354966
2021-04-13,5.8823953,469,6.061604272165791,5.029584075940891
2021-04-14,5.9659624,470,5.661748287079443,5.053289346594657
2021-04-15,5.580379,471,5.198323080034743,5.076794470865535
2021-04-16,6.039774,472,4.734491290375581,5.100092532197341
2021-04-17,3.9833138,473,4.348289668672702,5.123176674963697
2021-04-18,2.818433,474,4.117974173290671,5.146040106485333
2021-04-19,4.0316844,475,4.10245775464552,5.168676099028893
2021-04-20,5.0942206,476,4.322476750807706,5.191077991786617
2021-04-21,3.7632816,477,4.749044467150822,5.213239192836335
2021-04-22,5.458736,478,5.304365574817369,5.235153181081186
2021-04-23,6.764309,479,5.876921283048352,5.256813508168502
2021-04-24,6.328798,480,6.347911528584634,5.278213800387277
2021-04-25,6.435621,481,6.6221565205581,5.299347760543691
