Fecha,srf,srf_arima
2022-03-30,26055572.0,25101878.470145058
2022-03-31,25849100.0,25907799.153559074
2022-04-01,25431980.0,25879455.95763069
2022-04-02,24869510.0,25493305.879765358
2022-04-03,22755044.0,24952205.549462073
2022-04-04,25994878.0,23065917.340247255
2022-04-05,26115966.0,25518550.635347825
2022-04-06,26746202.0,26098163.381739
2022-04-07,26345584.0,26653543.347430475
2022-04-08,25857616.0,26404483.72022401
2022-04-09,26192622.0,25929358.105143227
2022-04-10,26309636.0,26143368.697169464
2022-04-11,27043348.0,26292432.349983547
2022-04-12,25365640.0,26935476.083298814
2022-04-13,27111510.0,25612300.239473958
2022-04-14,26425304.0,26854828.436646663
2022-04-15,24425772.0,26526191.48237981
2022-04-16,24614544.0,24719747.49630558
2022-04-17,25153346.0,24586790.33444796
2022-04-18,22067742.0,25074130.17081575
2022-04-19,20993848.0,22521394.13825159
2022-04-20,22005790.0,21151734.20618704
2022-04-21,17025430.0,21857012.11013254
2022-04-22,18927718.0,17757653.24162877
2022-04-23,25444230.0,18648039.525778957
2022-04-24,22099520.0,24486158.38655182
2022-04-25,18248966.0,22591266.45979571
2022-04-26,15235256.0,18815082.73291622
2022-04-27,21079512.0,15678338.127703428
2022-04-28,19145584.0,20220276.909920488
2022-04-29,24910036.0,19429914.25508932
2022-04-30,24635992.0,24062533.865685724
2022-05-01,16712853.0,24676282.53844078
2022-05-02,20449974.0,17877729.94111577
2022-05-03,22054106.0,19900534.430776298
2022-05-04,23808002.0,21818263.062332753
2022-05-05,24977886.0,23550140.43686004
2022-05-06,23343036.0,24805887.1375062
2022-05-07,25458938.0,23583395.16411199
2022-05-08,26762166.0,25147853.535943426
2022-05-09,26823856.0,26570562.615758423
2022-05-10,17858406.0,26814786.20348407
2022-05-11,22063378.0,19176525.746697158
2022-05-12,26308378.0,21445153.970251504
2022-05-13,26897262.0,25684268.96757782
2022-05-14,26390156.0,26810683.00743253
2022-05-15,28133894.0,26464711.815075498
2022-05-16,27811062.0,27877525.887873314
2022-05-17,28201290.0,27858525.45516017
2022-05-18,25522030.0,28143917.839928377
2022-05-19,26333140.0,25915940.569189034
2022-05-20,26540760.0,26213888.862829693
2022-05-21,27065918.0,26510235.26093958
2022-05-22,23689022.0,26988708.141048584
2022-05-23,21523218.0,24185500.514758617
2022-05-24,21017700.0,21841639.163452554
2022-05-25,25293710.0,21092022.343899176
2022-05-26,23193226.0,24665041.810664885
2022-05-27,26681844.0,23502043.676527273
2022-05-28,26970086.0,26168939.876449797
2022-05-29,27305070.0,26927708.04105455
2022-05-30,26855088.0,27255819.931656793
2022-05-31,24499586.0,26921245.321702566
2022-06-01,23926230.0,24845896.97151673
2022-06-02,23941734.0,24010526.03260152
2022-06-03,26360296.0,23939454.568565685
2022-06-04,26851486.0,26004713.811620012
2022-06-05,27987758.0,26779270.18948517
2022-06-06,28270152.0,27820700.84605691
2022-06-07,28360448.0,28228633.826595563
2022-06-08,27805946.0,28347172.487822946
2022-06-09,21171242.0,27887470.07696023
2022-06-10,27171916.0,22146690.45555891
2022-06-11,25916292.0,26289683.99905278
2022-06-12,26385854.0,26100896.54174937
2022-06-13,23279954.0,26316817.98457427
