Fecha,srf,dia,reconstruida_srf,ajustados_srf
2021-06-25,23610780.0,542,21459179.462040924,25477071.25012923
2021-06-26,24970426.0,543,21296011.81414489,25477261.928103972
2021-06-27,22694960.0,544,21156217.207512315,25475776.585771002
2021-06-28,17986006.0,545,21039401.495500643,25472615.666876808
2021-06-29,19874576.0,546,20944799.248676755,25467780.115746893
2021-06-30,11927023.0,547,20866854.501008034,25461271.377003673
2021-07-01,20914162.0,548,20787297.336497456,25453091.39513488
2021-07-02,24346788.0,549,20670274.89933011,25443242.61391266
2021-07-03,23467724.0,550,20466867.388148066,25431727.975663476
2021-07-04,25074960.0,551,20131365.183078557,25418550.9203891
2021-07-05,22654236.0,552,19645602.95120875,25403715.384738922
2021-07-06,18429614.0,553,19042187.143623758,25387225.80083386
2021-07-07,8963200.0,554,18415340.441738058,25369087.094942246
2021-07-08,16819586.0,555,17910809.424678043,25349304.686008144
2021-07-09,13805695.0,556,17693339.730042864,25327884.484032407
2021-07-10,21416180.0,557,17899173.93629058,25304832.888307065
2021-07-11,24411504.0,558,18588354.274798676,25280156.785503555
2021-07-12,21751664.0,559,19714096.766062666,25253863.5476153
2021-07-13,18646350.0,560,21122572.072597932,25225961.02975534
2021-07-14,24647400.0,561,22586925.127591427,25196457.567809604
2021-07-15,21409064.0,562,23867407.41722415,25165361.975946575
2021-07-16,21805814.0,563,24779417.657014884,25132683.54398404
2021-07-17,25132250.0,564,25247000.76558223,25098432.03461376
2021-07-18,25678886.0,565,25322961.298428155,25062617.680484872
2021-07-19,26232688.0,566,25167399.040347565,25025251.181146864
2021-07-20,27489806.0,567,24990677.447106466,24986343.6998531
2021-07-21,24568448.0,568,24979579.404308926,24945906.860225767
2021-07-22,22313514.0,569,25231964.194368683,24903952.742783356
2021-07-23,25168052.0,570,25722953.607417166,24860493.881331563
2021-07-24,28882728.0,571,26315028.422697578,24815543.25921883
2021-07-25,28003562.0,572,26808988.37051375,24769114.305457566
2021-07-26,27368368.0,573,27017985.453620914,24721220.890712224
2021-07-27,26218126.0,574,26838180.560941935,24671877.323155425
2021-07-28,24843240.0,575,26290329.318974413,24621098.344193414
2021-07-29,22981252.0,576,25516744.636065252,24568899.12406201
2021-07-30,23854978.0,577,24734125.35729132,24515295.257294554
2021-07-31,25423592.0,578,24158929.25105766,24460302.758063
2021-08-01,27118254.0,579,23932343.5780516,24403938.055393685
2021-08-02,26290006.0,580,24072498.098774783,24346217.988259148
2021-08-03,24414996.0,581,24471918.361311384,24287159.800547488
2021-08-04,21501014.0,582,24941656.318020295,24226781.13591075
2021-08-05,24472010.0,583,25286039.81594342,24165100.032493867
2021-08-06,25929430.0,584,25380046.152606156,24102134.917545762
2021-08-07,25350668.0,585,25219545.934686404,24037904.601914212
2021-08-08,24118088.0,586,24924058.897774193,23972428.274426088
2021-08-09,24641538.0,587,24689076.61163325,23905725.4961547
2021-08-10,25119510.0,588,24704219.37602783,23837816.194575902
2021-08-11,26414836.0,589,25067402.816292793,23768720.65761478
2021-08-12,26665110.0,590,25728395.554437373,23698459.527584583
2021-08-13,27108914.0,591,26486003.23909368,23627053.795019876
2021-08-14,26637638.0,592,27044449.13760726,23554524.79240559
2021-08-15,24550366.0,593,27112772.701797307,23480894.187803928
2021-08-16,25122940.0,594,26514053.035224073,23406183.978381027
2021-08-17,25163304.0,595,25265394.54325162,23330416.48383531
2021-08-18,25305680.0,596,23597523.885709338,23253614.339729454
2021-08-19,25454054.0,597,21902326.400801927,23175800.49072802
2021-08-20,21125780.0,598,20621264.75087729,23096998.183742724
2021-08-21,13921312.0,599,20108883.641037017,23017230.96098741
2021-08-22,19762154.0,600,20515917.14477593,22936522.652944814
2021-08-23,25816252.0,601,21731887.990744557,22854897.371247187
2021-08-24,25352192.0,602,23408633.10500385,22772379.50147296
2021-08-25,23973526.0,603,25059857.200728647,22688993.695861515
2021-08-26,24745330.0,604,26206425.898153946,22604764.865948346
2021-08-27,27190296.0,605,26521341.14629843,22519718.17512272
2021-08-28,26394868.0,606,25927724.491652332,22433879.031110108
2021-08-29,19814788.0,607,24618092.59198641,22347273.078381617
2021-08-30,23745810.0,608,22988856.448067505,22259926.190492693
2021-08-31,23635818.0,609,21511741.270097695,22171864.462353405
2021-09-01,23580516.0,610,20584371.03926432,22083114.202432558
2021-09-02,22057364.0,611,20408682.3484386,21993701.924898047
2021-09-03,18932796.0,612,20936014.454784174,21903654.341695737
2021-09-04,18882306.0,613,21895071.511009537,21812998.354569253
2021-09-05,23853254.0,614,22891211.159548488,21721761.047023095
