Fecha,SRF,Dia,Reconstruida,Ajustados
2021-02-28,20906122.0,425,19564306.50833904,17292850.887017604
2021-03-01,19369550.0,426,19359852.012230776,17379699.122127958
2021-03-02,6120632.0,427,18997215.94709429,17467281.334025197
2021-03-03,21909238.0,428,18488485.442543212,17555571.34881817
2021-03-04,21912236.0,429,17886215.4364575,17644542.781089276
2021-03-05,20375208.0,430,17277971.136508267,17734169.04177969
2021-03-06,20476474.0,431,16772493.463375015,17824423.346135523
2021-03-07,16414019.0,432,16479676.64240389,17915278.72171242
2021-03-08,7906094.0,433,16487767.957585512,18006708.01643624
2021-03-09,14440399.0,434,16842306.12668448,18098683.906717468
2021-03-10,22021142.0,435,17531911.552757345,18191178.90561682
2021-03-11,22191310.0,436,18485557.648620564,18284165.371059727
2021-03-12,19045140.0,437,19583961.730714936,18377615.51409713
2021-03-13,17570200.0,438,20684302.45292842,18471501.407210212
2021-03-14,22869616.0,439,21653339.32258708,18565794.99265651
2021-03-15,20855426.0,440,22400482.79014936,18660468.090854935
2021-03-16,23079922.0,441,22900892.947783317,18755492.408807263
2021-03-17,24097110.0,442,23200286.219843034,18850839.54855344
2021-03-18,24289196.0,443,23397858.99197451,18946481.01565833
2021-03-19,24761252.0,444,23610473.297828995,19042388.227727238
