Fecha,SRF,holtwinters_predicts
2021-12-02,16385433.0,19152515.899219863
2021-12-03,16768313.0,14975727.480433485
2021-12-04,16568165.0,15149008.790722948
2021-12-05,16073301.0,16232005.170047965
2021-12-06,16050567.0,15171819.625650538
2021-12-07,13137731.0,16889952.47397784
2021-12-08,15621790.0,17036421.561788466
2021-12-09,16582394.0,16698334.312476782
2021-12-10,15722351.0,16599539.376585817
2021-12-11,15859942.0,15979892.626201108
2021-12-12,8622655.0,13527395.932519505
2021-12-13,16398145.0,13784397.134384094
2021-12-14,15530780.0,13462089.49416041
2021-12-15,14678330.0,15512765.8049018
2021-12-16,15908259.0,15232430.078484552
2021-12-17,15295280.0,10647180.767281039
2021-12-18,14370742.0,13498941.421430333
