Fecha,srf,srf_holtwin_predicts
2022-05-16,27762746.0,28250505.995405316
2022-05-17,28154138.0,29576882.009338997
2022-05-18,25453126.0,26799957.084332585
2022-05-19,26268468.0,26994291.989337273
2022-05-20,26475378.0,25287357.70719237
2022-05-21,27002684.0,26671256.71241361
2022-05-22,23598952.0,26501471.688146114
2022-05-23,21415680.0,25137587.285700902
2022-05-24,20905394.0,22978907.41282948
2022-05-25,25210892.0,22120320.571077283
2022-05-26,23092874.0,23073961.865094263
2022-05-27,26605242.0,24480194.198403627
2022-05-28,26895044.0,26990894.317378208
2022-05-29,27230248.0,23476923.70072951
2022-05-30,26775304.0,26436130.10657288
2022-05-31,24401550.0,27213867.44568699
2022-06-01,23822336.0,23094412.857955262
2022-06-02,23836270.0,20932726.89257981
2022-06-03,26271920.0,20799251.59232905
2022-06-04,26764468.0,28511682.51685021
2022-06-05,27908482.0,31188864.67340501
2022-06-06,28191254.0,30797302.10765481
2022-06-07,28281668.0,29194464.10339366
2022-06-08,27722042.0,26938745.71111633
2022-06-09,21037294.0,25432592.789309602
2022-06-10,27081166.0,24029790.60861111
